1584553245.326216794,1584553255.052257695,9.72604
1584553255.069401943,1584553273.988806041,18.91940
1584553274.007757780,1584553290.048043481,16.04029
1584553290.073685753,1584553295.944866609,5.87118
1584553295.959619536,1584553298.632326486,2.67271
1584553298.652825751,1584553318.066284161,19.41346
1584553318.088267888,1584553322.694940840,4.60667
1584553322.720892513,1584553334.209631598,11.48874
1584553334.224955461,1584553338.580950614,4.35599
1584553338.597087022,1584553342.037900002,3.44081
1584553342.069493013,1584553346.920067443,4.85057
1584553346.940276282,1584553349.454391252,2.51411
1584553349.469389779,1584553350.444226938,0.97484
1584553350.454489624,1584553352.340177778,1.88569
1584553352.377613756,1584553355.842546977,3.46493
1584553355.857566328,1584553357.541629527,1.68406
1584553357.557382812,1584553359.236778640,1.67940
1584553359.254440473,1584553361.433859635,2.17942
1584553361.449781381,1584553375.785767569,14.33599
1584553375.801727242,1584553379.912693710,4.11097
1584553379.931916468,1584553391.464761198,11.53284
1584553391.478406191,1584553395.834781596,4.35638
1584553395.850391827,1584553399.455818909,3.60543
1584553399.476270530,1584553404.468874002,4.99260
1584553404.481195819,1584553406.812655949,2.33146
1584553406.843645433,1584553407.825285306,0.98164
1584553407.836047215,1584553409.613164181,1.77712
1584553409.634197657,1584553413.219017716,3.58482
1584553413.235491222,1584553414.846884989,1.61139
1584553414.867417821,1584553416.550522883,1.68310
1584553416.562253441,1584553418.737424403,2.17517
1584553418.753260891,1584553433.064181032,14.31092
1584553433.080389920,1584553437.200731469,4.12034
1584553437.217560457,1584553448.660934409,11.44337
1584553448.680475204,1584553453.048873122,4.36840
1584553453.069432844,1584553456.341407652,3.27197
1584553456.354884938,1584553461.125819802,4.77093
1584553461.137395286,1584553463.469091995,2.33170
1584553463.485117206,1584553464.463349720,0.97823
1584553464.478646133,1584553466.491098128,2.01245
1584553466.509920670,1584553470.090452343,3.58053
1584553470.107725320,1584553471.753494186,1.64577
1584553471.767114489,1584553473.576363307,1.80925
1584553473.591526215,1584553476.002688473,2.41116
1584553476.018902331,1584553490.326956271,14.30805
1584553490.345824309,1584553494.448835594,4.10301
1584553494.462215388,1584553505.848359153,11.38614
1584553505.861903581,1584553510.224098459,4.36219
1584553510.239371395,1584553513.685061012,3.44569
1584553513.703120760,1584553518.657356346,4.95424
1584553518.668069555,1584553520.992499616,2.32443
1584553521.010053901,1584553521.991046694,0.98099
1584553522.006808702,1584553523.684120850,1.67731
1584553523.696527940,1584553527.178156994,3.48163
1584553527.198754430,1584553529.304718575,2.10596
1584553529.316852060,1584553531.200233312,1.88338
1584553531.236666393,1584553533.393558593,2.15689
1584553533.409898848,1584553547.667700592,14.25780
1584553547.683657167,1584553551.879894709,4.19624
1584553551.899434243,1584553563.303264104,11.40383
1584553563.319096632,1584553567.663602370,4.34451
1584553567.678270219,1584553571.162792109,3.48452
1584553571.173205079,1584553576.202273278,5.02907
1584553576.221070381,1584553578.561997144,2.34093
1584553578.577870290,1584553579.557755996,0.97989
1584553579.574401266,1584553581.196321662,1.62192
1584553581.212540252,1584553584.551426970,3.33889
1584553584.566780635,1584553586.179408923,1.61263
1584553586.198562106,1584553588.150916311,1.95235
1584553588.169319842,1584553590.418218063,2.24890
1584553590.430168955,1584553604.675716145,14.24555
1584553604.692316630,1584553608.804714655,4.11240
1584553608.823322804,1584553620.263558482,11.44024
1584553620.273770510,1584553624.632028441,4.35826
1584553624.650113087,1584553628.218332968,3.56822
1584553628.231416822,1584553633.064450354,4.83303
1584553633.081136701,1584553635.403208288,2.32207
1584553635.413285974,1584553636.384216660,0.97093
1584553636.399552305,1584553637.998944305,1.59939
1584553638.015457702,1584553641.327406230,3.31195
1584553641.342403045,1584553643.098646561,1.75624
1584553643.114134359,1584553644.769769214,1.65563
1584553644.786069779,1584553647.099703097,2.31363
1584553647.115615330,1584553661.376773664,14.26116
1584553661.393619879,1584553665.494434734,4.10082
1584553665.509494095,1584553676.936786746,11.42729
1584553676.987285823,1584553681.352254532,4.36497
1584553681.362972747,1584553684.760312961,3.39734
1584553684.776971648,1584553689.494416699,4.71745
1584553689.511583379,1584553691.904785335,2.39320
1584553691.918869654,1584553692.895965719,0.97710
1584553692.912693030,1584553694.558293959,1.64560
1584553694.573654873,1584553698.060859235,3.48720
1584553698.075959333,1584553699.665725679,1.58977
1584553699.682433866,1584553701.136772030,1.45434
1584553701.153208783,1584553703.730394892,2.57719
1584553703.746265814,1584553717.998211517,14.25195
1584553718.014259178,1584553722.124902490,4.11064
1584553722.141038721,1584553733.621404207,11.48037
1584553733.637715991,1584553737.974063705,4.33635
1584553737.993717991,1584553741.268852346,3.27513
1584553741.282177371,1584553746.152950413,4.87077
1584553746.163883136,1584553748.636980055,2.47310
1584553748.651451490,1584553749.630543063,0.97909
1584553749.640835209,1584553751.256958634,1.61612
1584553751.271339879,1584553754.783401966,3.51206
1584553754.801079104,1584553756.813760380,2.01268
1584553756.851240575,1584553759.627487642,2.77625
1584553759.644150511,1584553761.894196731,2.25005
1584553761.911099942,1584553776.259403474,14.34830
1584553776.276930396,1584553780.370129277,4.09320
1584553780.386574259,1584553791.782698965,11.39612
1584553791.798218474,1584553796.150424847,4.35221
1584553796.166642695,1584553799.536945480,3.37030
1584553799.567635681,1584553804.484750341,4.91711
1584553804.501285782,1584553806.997863181,2.49658
1584553807.015759537,1584553808.004170277,0.98841
1584553808.018490786,1584553809.373489431,1.35500
1584553809.389095196,1584553812.718503763,3.32941
1584553812.736630162,1584553814.344025832,1.60740
1584553814.356465182,1584553815.913159340,1.55669
